+-------+------------------------------------------------+---------------+-----------------------------------------------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------------------------------+------------------+
| id    | name                                           | question_type | question_text                                                                     | correct_answer  | explanation                                                                                                                  | difficulty_level |
| 13600 | 宾语从句 [中等]                                | TRUE_FALSE    | He asked me where did I live. (判断正误)                                          | F               | 宾语从句必须用陈述语序。正确:where I lived。                                                                                 |                3 |
| 13606 | 时间/条件/原因状语从句 [中等]                  | SINGLE_CHOICE | I will call you ___ I arrive home.                                                | B               | as soon as=一...就... 时间状语从句用一般现在时表将来。                                                                       |                2 |
| 13607 | 时间/条件/原因状语从句 [中等]                  | SINGLE_CHOICE | ___ it rains tomorrow, we will stay at home.                                      | B               | if引导条件状语从句，用一般现在时表将来。                                                                                     |                2 |
| 13608 | 时间/条件/原因状语从句 [中等]                  | FILL_IN       | He didn't come ___ he was ill.                                                    | because         | because引导原因状语从句。不能与so同时用。                                                                                    |                2 |
| 13609 | 时间/条件/原因状语从句 [中等]                  | FILL_IN       | You won't pass ___ you study hard.                                                | unless          | unless=if not除非。条件从句一般现在时表将来。                                                                                |                2 |
| 13610 | 时间/条件/原因状语从句 [中等]                  | TRUE_FALSE    | If it will rain tomorrow, we will stay home. (判断正误)                           | F               | 条件状语从句不能用将来时。正确:If it rains。                                                                                 |                3 |
| 13617 | 情态动词基本用法 can/must/may [基础]           | SINGLE_CHOICE | You ___ smoke here. It is not allowed.                                            | B               | mustn't表示禁止。not allowed提示禁止。                                                                                       |                1 |
| 13618 | 情态动词基本用法 can/must/may [基础]           | SINGLE_CHOICE | ___ I borrow your pen?                                                            | C               | May I...?礼貌请求允许。Can I也常用。                                                                                         |                1 |
| 13619 | 情态动词基本用法 can/must/may [基础]           | SINGLE_CHOICE | ---Must I finish it today? ---No, you ___.                                        | B               | Must提问否定用needn't/don't have to。mustn't是禁止。                                                                         |                2 |
| 13620 | 情态动词基本用法 can/must/may [基础]           | FILL_IN       | He ___ play piano when he was five.                                               | could           | can的过去式could表示过去的能力。                                                                                             |                1 |
| 13623 | 就近原则与意义一致 [基础]                      | SINGLE_CHOICE | Neither he nor I ___ a teacher.                                                   | B               | neither...nor就近原则，与I一致用am。                                                                                         |                2 |
| 13624 | 就近原则与意义一致 [基础]                      | SINGLE_CHOICE | There ___ a book and two pens on the desk.                                        | A               | there be就近原则，a book是单数用is。                                                                                         |                2 |
| 13443 | 一般过去时 [基础]                              | SINGLE_CHOICE | She ___ to Beijing last summer.                                                   | C               | last summer是过去时间状语，go的过去式为went（不规则变化）。                                                                  |                1 |
| 13444 | 一般过去时 [基础]                              | SINGLE_CHOICE | They ___ a movie yesterday evening.                                               | B               | yesterday evening是过去时间，规则动词watch+ed构成过去式。                                                                    |                1 |
| 13445 | 一般过去时 [基础]                              | FILL_IN       | He ___ (not go) to school yesterday because he was ill.                           | did not go      | 一般过去时否定：did not + 动词原形。不是went的否定，必须用原形go。                                                           |                1 |
| 13446 | 一般过去时 [基础]                              | SINGLE_CHOICE | I ___ born in 2008.                                                               | B               | 过去具体时间点(2008年)用一般过去时，I用was。                                                                                 |                1 |
| 13447 | 一般过去时 [基础]                              | TRUE_FALSE    | He goed to the park yesterday. (判断正误)                                         | F               | go是不规则动词，过去式为went而非goed。                                                                                       |                1 |
| 13448 | 一般过去时 [基础]                              | SINGLE_CHOICE | When ___ you finish your homework last night?                                     | C               | last night是过去时间，疑问句用did+主语+动词原形。                                                                            |                1 |
| 13449 | 一般过去时 [基础]                              | FILL_IN       | She ___ (buy) a new dress last week.                                              | bought          | last week是过去时间，buy的过去式为bought（不规则变化）。                                                                     |                2 |
| 13450 | 一般过去时 [基础]                              | SINGLE_CHOICE | There ___ a big tree in front of our house ten years ago.                         | B               | ten years ago是过去时间，a big tree是单数，there be句型过去式用was。                                                         |                1 |
| 13498 | 动名词 [中等]                                  | SINGLE_CHOICE | He enjoys ___ basketball after school.                                            | C               | enjoy后接动名词V-ing。常见接doing的动词：enjoy/mind/finish/practice/suggest。                                                |                2 |
| 13499 | 动名词 [中等]                                  | SINGLE_CHOICE | Would you mind ___ the window?                                                    | C               | mind doing sth介意做某事，固定搭配。                                                                                         |                2 |
| 13500 | 动名词 [中等]                                  | FILL_IN       | She practices ___ (speak) English every morning.                                  | speaking        | practice后接动名词doing。常见接doing的动词口诀:完成实践值得忙(finish/practice/be worth/be busy)。                            |                2 |
| 13501 | 动名词 [中等]                                  | SINGLE_CHOICE | ___ is good for your health.                                                      | B               | 动名词作主语表示泛指的动作。Running在此是主语。不定式也可作主语但to run更强调具体一次。                                      |                2 |
| 13502 | 动名词 [中等]                                  | SINGLE_CHOICE | I look forward to ___ you.                                                        | B               | look forward to中的to是介词，后接名词/动名词。类似：be used to doing, pay attention to doing。                               |                3 |
| 13574 | 感谢与道歉 [基础]                              | SINGLE_CHOICE | ---Thank you for helping me. ---___.                                              | B               | 回答感谢用You're welcome/My pleasure/Not at all。不能回答No, thanks。                                                        |                1 |
| 13575 | 感谢与道歉 [基础]                              | SINGLE_CHOICE | ---I'm sorry I broke your cup. ---___.                                            | B               | 回应道歉用It doesn't matter/Never mind/That's OK。You're welcome是回应感谢的。                                               |                1 |
| 13576 | 感谢与道歉 [基础]                              | FILL_IN       | ---Sorry for being late. ---___ (没关系).                                         | Never mind      | Never mind/It doesn't matter都是回复道歉的常用表达。                                                                         |                1 |
| 13585 | 情态动词推测用法 [中等]                        | SINGLE_CHOICE | He ___ have gone to Beijing. I'm not sure.                                        | C               | may have done表示对过去的可能性推测(可能做了)。I'm not sure提示不确定。                                                      |                3 |
| 13591 | 关系副词 when/where/why [中等]                 | SINGLE_CHOICE | This is the school ___ I studied three years ago.                                 | B               | 先行词school表地点，从句主谓宾完整缺状语，用where。                                                                          |                2 |
| 13592 | 关系副词 when/where/why [中等]                 | SINGLE_CHOICE | I will never forget the day ___ we first met.                                     | B               | 先行词day表时间，从句不缺成分，用when。                                                                                      |                2 |
| 13593 | 关系副词 when/where/why [中等]                 | FILL_IN       | This is the reason ___ he was late.                                               | why             | 先行词reason，从句完整，用why引导定语从句。                                                                                  |                2 |
| 13601 | 主语从句 [困难]                                | SINGLE_CHOICE | ___ he said is true.                                                              | C               | what引导主语从句并在从句中作宾语。                                                                                           |                3 |
| 13602 | 主语从句 [困难]                                | SINGLE_CHOICE | ___ we need more time is obvious.                                                 | B               | 从句完整不缺成分，用That引导主语从句。                                                                                       |                3 |
| 13603 | 主语从句 [困难]                                | FILL_IN       | ___ she will come is not sure yet.                                                | Whether         | whether引导主语从句。注意if不能引导主语从句。                                                                                |                3 |
| 13611 | 让步/目的状语从句 [中等]                       | SINGLE_CHOICE | He got up early ___ he could catch the bus.                                       | B               | so that引导目的状语从句，从句常用can/could。                                                                                 |                2 |
| 13612 | 让步/目的状语从句 [中等]                       | SINGLE_CHOICE | ___ the weather was bad, they went out.                                           | B               | Even though=即使，引导让步状语从句。                                                                                         |                3 |
| 13613 | 让步/目的状语从句 [中等]                       | TRUE_FALSE    | Although he is poor, but he is happy. (判断正误)                                  | F               | although和but不能同时用。去掉其中之一。                                                                                      |                3 |
| 13614 | 动名词                                         | SINGLE_CHOICE | Would you mind ___ the window?                                                    | C               | mind doing sth介意做某事，固定搭配。                                                                                         |                2 |
| 13615 | 动名词                                         | SINGLE_CHOICE | ___ is good for your health.                                                      | B               | 动名词作主语表示泛指的动作。                                                                                                 |                2 |
| 13616 | 动名词                                         | FILL_IN       | I look forward to ___ (see) you.                                                  | seeing          | look forward to中的to是介词，后接doing。                                                                                     |                3 |
| 13621 | 情态动词推测用法 [中等]                        | SINGLE_CHOICE | He ___ be at home. I just saw him outside.                                        | B               | can't表示否定推测(不可能)。刚在外面看见他。                                                                                  |                2 |
| 13622 | 情态动词推测用法 [中等]                        | SINGLE_CHOICE | The ground is wet. It ___ last night.                                             | B               | must have done对过去的肯定推测(一定做了)。                                                                                   |                3 |
| 13451 | 一般将来时 [基础]                              | SINGLE_CHOICE | They ___ a meeting tomorrow afternoon.                                            | B               | tomorrow afternoon是将来时间，用will+动词原形。                                                                              |                1 |
| 13452 | 一般将来时 [基础]                              | SINGLE_CHOICE | I think it ___ rain tomorrow.                                                     | B               | 表示预测用will+动词原形。be going to也表示将来，但这里是will rain。                                                          |                1 |
| 13453 | 一般将来时 [基础]                              | TRUE_FALSE    | She will comes to the party tonight. (判断正误)                                   | F               | will后必须用动词原形，comes应改为come。                                                                                      |                2 |
| 13454 | 一般将来时 [基础]                              | SINGLE_CHOICE | We ___ visit our grandparents next Sunday.                                        | A               | be going to表示计划好的将来动作。next Sunday是将来时间。                                                                     |                1 |
| 13455 | 一般将来时 [基础]                              | FILL_IN       | There ___ (be) a football match next Friday.                                      | will be         | next Friday是将来时间，there be句型的将来式为there will be。                                                                 |                2 |
| 13456 | 一般将来时 [基础]                              | SINGLE_CHOICE | Look at those clouds. It ___ rain soon.                                           | B               | 根据现有迹象(云)推测即将发生的事，用be going to。                                                                            |                2 |
| 13457 | 一般将来时 [基础]                              | FILL_IN       | My mother ___ (buy) me a new phone next month.                                    | will buy        | next month是将来的明确时间，用will+动词原形表示将来动作。                                                                    |                1 |
| 13458 | 一般将来时 [基础]                              | SINGLE_CHOICE | The train ___ at 8:00 tomorrow morning.                                           | B               | 按时刻表发生的将来动作(火车出发)可用一般现在时表将来。                                                                       |                2 |
| 13503 | 分词作定语和状语 [困难]                        | SINGLE_CHOICE | The boy ___ under the tree is my brother.                                         | C               | 现在分词作后置定语，the boy sitting=the boy who is sitting，主动含义。                                                       |                3 |
| 13504 | 分词作定语和状语 [困难]                        | SINGLE_CHOICE | ___ from the top of the hill, the city looks beautiful.                           | C               | the city是"被看"的，用过去分词Seen表被动。分词作状语时，其逻辑主语必须与主句主语一致。                                       |                3 |
| 13505 | 分词作定语和状语 [困难]                        | FILL_IN       | The house ___ (build) last year is very big.                                      | built           | 房子是被建造的，过去分词built作后置定语表被动和完成。                                                                        |                3 |
| 13506 | 分词作定语和状语 [困难]                        | SINGLE_CHOICE | ___ the news, she burst into tears.                                               | C               | she是"听到"这个动作的发出者(主动)，用现在分词Hearing作时间状语。=When she heard。                                            |                3 |
| 13577 | 问路与指路 [基础]                              | SINGLE_CHOICE | ---Excuse me, ___ is the nearest hospital? ---Go along this street and turn left. | C               | 问路用where is...或how can I get to...。回答常用Go along/Turn left-right。                                                   |                1 |
| 13578 | 问路与指路 [基础]                              | FILL_IN       | The hospital is ___ (在...对面) the post office.                                  | opposite        | opposite=在对面。指路常用across from(美式)/opposite(英式)。                                                                  |                1 |
| 13579 | 问路与指路 [基础]                              | SINGLE_CHOICE | ---How can I get to the railway station? ---You can ___ Bus No.5.                 | A               | take a bus搭公交车(动词短语)。by bus是介词短语(不能单独作谓语)。                                                             |                1 |
| 13594 | 非限制性定语从句 [困难]                        | SINGLE_CHOICE | My mother, ___ is a teacher, helps me with homework.                              | C               | 非限制性定语从句(有逗号)不能用that，指人用who。                                                                              |                3 |
| 13595 | 非限制性定语从句 [困难]                        | SINGLE_CHOICE | Beijing, ___ is the capital of China, is beautiful.                               | B               | 非限制性定语从句指物用which，不能用that。                                                                                    |                3 |
| 13596 | 非限制性定语从句 [困难]                        | TRUE_FALSE    | My father, that is 45, works in a factory. (判断正误)                             | F               | 非限制性定语从句不能用that，应改为who。                                                                                      |                3 |
| 13604 | 表语从句与同位语从句 [困难]                    | SINGLE_CHOICE | The problem is ___ we lack money.                                                 | B               | 表语从句完整用that引导。                                                                                                     |                3 |
| 13605 | 表语从句与同位语从句 [困难]                    | SINGLE_CHOICE | The news ___ our team won excited us.                                             | B               | 同位语从句解释news的内容，从句完整用that。                                                                                   |                3 |
| 13459 | 现在进行时 [基础]                              | SINGLE_CHOICE | Listen! The birds ___ in the tree.                                                | C               | Listen!提示动作正在发生，the birds是复数，用are singing。                                                                    |                1 |
| 13460 | 现在进行时 [基础]                              | SINGLE_CHOICE | Look! She ___ a red dress today.                                                  | B               | Look!表示正在看，此刻正在进行的动作用现在进行时。                                                                            |                1 |
| 13461 | 现在进行时 [基础]                              | FILL_IN       | He ___ (read) a book now. Don't disturb him.                                      | is reading      | now+Don't disturb提示正在进行的动作，现在进行时be+V-ing。                                                                    |                1 |
| 13462 | 现在进行时 [基础]                              | TRUE_FALSE    | She is knowing the answer. (判断正误)                                             | F               | know是状态动词，不用于进行时。正确应为She knows the answer。                                                                 |                3 |
| 13463 | 现在进行时 [基础]                              | SINGLE_CHOICE | We ___ for the bus at the moment.                                                 | C               | at the moment=此刻，现在进行时标志。we是复数，用are waiting。                                                                |                1 |
| 13464 | 现在进行时 [基础]                              | FILL_IN       | It's 7 p.m. Mom ___ (cook) dinner in the kitchen.                                 | is cooking      | 具体时间点(7 p.m.)描述正在发生的事，mom是单数，用is cooking。                                                                |                1 |
| 13465 | 现在进行时 [基础]                              | SINGLE_CHOICE | They ___ football. Don't make so much noise.                                      | C               | Don't make noise暗示动作正在进行中，用现在进行时。                                                                           |                1 |
| 13466 | 现在进行时 [基础]                              | SINGLE_CHOICE | Hurry up! Everyone ___ for you.                                                   | C               | Hurry up!说明此刻别人正在等你。everyone是不定代词，谓语用单数is waiting。                                                    |                2 |
| 13580 | 建议与劝告 [基础]                              | SINGLE_CHOICE | ---I have a headache. ---You ___ see a doctor.                                    | A               | 给建议用should(应该)。You should do sth是劝告常用句型。                                                                      |                1 |
| 13581 | 建议与劝告 [基础]                              | SINGLE_CHOICE | ---Why ___ join an English club to practice speaking?                             | A               | Why don't you do sth?=为什么不...? 提出建议的常用句型。                                                                      |                1 |
| 13582 | 建议与劝告 [基础]                              | FILL_IN       | ---What ___ going for a walk? ---Sounds great!                                    | about           | What about/How about doing sth?是提建议的句型，后接动名词。                                                                  |                1 |
| 13467 | 过去进行时 [中等]                              | SINGLE_CHOICE | I ___ my homework when you called me.                                             | B               | when you called是过去时间点，那一刻正在进行的动作用过去进行时was/were+V-ing。                                                |                2 |
| 13468 | 过去进行时 [中等]                              | SINGLE_CHOICE | While she ___ TV, her mother came back.                                           | C               | while引导的时间状语从句常用过去进行时，表示在过去某个时间段内持续的动作。                                                    |                2 |
| 13469 | 过去进行时 [中等]                              | FILL_IN       | They ___ (have) dinner at 7 p.m. yesterday.                                       | were having     | 过去具体时间点(yesterday at 7 p.m.)正在进行的动作，用过去进行时。they用were。                                                |                2 |
| 13470 | 过去进行时 [中等]                              | SINGLE_CHOICE | What ___ you ___ at this time yesterday?                                          | B               | at this time yesterday是过去具体时间点，问那时正在做什么用过去进行时。                                                       |                2 |
| 13471 | 过去进行时 [中等]                              | SINGLE_CHOICE | I ___ along the street when it began to rain.                                     | C               | when it began to rain是过去时间点，主句用过去进行时表示那时正在走的动作。                                                    |                2 |
| 13472 | 现在完成时 [困难]                              | SINGLE_CHOICE | I ___ my homework already.                                                        | C               | already是现在完成时标志词，表示动作已经完成，结构为have/has+过去分词。                                                       |                2 |
| 13473 | 现在完成时 [困难]                              | SINGLE_CHOICE | She ___ never ___ to Shanghai.                                                    | A               | never是现在完成时标志。have been to去过(已回)，have gone to去了(未回)。这里表示经历。                                        |                2 |
| 13474 | 现在完成时 [困难]                              | TRUE_FALSE    | He has gone to Beijing and he will come back tomorrow. (判断正误)                 | F               | has gone to表示去了还没回来，与will come back tomorrow矛盾。应改为has been to。                                              |                3 |
| 13475 | 现在完成时 [困难]                              | FILL_IN       | We ___ (live) here since 2020.                                                    | have lived      | since+时间点是现在完成时标志，表示从过去持续到现在的动作。                                                                   |                2 |
| 13476 | 现在完成时 [困难]                              | SINGLE_CHOICE | They have worked in this factory ___ 2015.                                        | B               | since+时间点，for+时间段。2015是时间点，用since。                                                                            |                2 |
| 13477 | 现在完成时 [困难]                              | FILL_IN       | I ___ (not see) him for three years.                                              | have not seen   | for+时间段(three years)是现在完成时标志，表示到现在为止的三年里没见过他。                                                    |                2 |
| 13478 | 现在完成时 [困难]                              | SINGLE_CHOICE | So far we ___ 20 units of this book.                                              | B               | so far=到目前为止，是现在完成时常用标志词。                                                                                  |                2 |
| 13479 | 现在完成时-for/since区别 [困难]                | SINGLE_CHOICE | He has worked here ___ ten years.                                                 | B               | ten years是时间段(十年)，用for。since+时间点(如since 2014)。                                                                 |                2 |
| 13480 | 现在完成时-for/since区别 [困难]                | SINGLE_CHOICE | She has been ill ___ last Monday.                                                 | B               | last Monday是具体时间点(上周一)，用since。for+时间段(如for a week)。                                                         |                2 |
| 13481 | 现在完成时-for/since区别 [困难]                | FILL_IN       | I have known her ___ we were children.                                            | since           | since+从句(过去时)表示从过去某个时间点开始延续到现在。                                                                       |                3 |
| 13482 | 过去完成时 [困难]                              | SINGLE_CHOICE | By the time we arrived, the movie ___.                                            | C               | by the time+过去时间点，主句用过去完成时had+过去分词，表示"过去的过去"。                                                     |                3 |
| 13483 | 过去完成时 [困难]                              | SINGLE_CHOICE | She said she ___ the book before.                                                 | C               | 主句said是过去时，宾语从句中"读书"发生在"说"之前(过去的过去)，用过去完成时。                                                 |                3 |
| 13484 | 过去完成时 [困难]                              | FILL_IN       | When I got to the station, the train ___ (leave).                                 | had left        | 火车离开发生在到达车站之前(过去的过去)，用过去完成时had left。                                                               |                3 |
| 13485 | 被动语态 [中等]                                | SINGLE_CHOICE | English ___ all over the world.                                                   | B               | English是"被说"，不是自己说。被动语态：be+过去分词。一般现在时被动am/is/are+过去分词。                                       |                2 |
| 13486 | 被动语态 [中等]                                | SINGLE_CHOICE | The window ___ by Tom yesterday.                                                  | C               | yesterday是过去时间，window是"被打破"的。过去时被动：was/were+过去分词。                                                     |                2 |
| 13487 | 被动语态 [中等]                                | FILL_IN       | These books ___ (write) by Lu Xun.                                                | were written    | 书是被写的，Lu Xun已故用过去时。these books是复数，用were written。                                                          |                2 |
| 13488 | 被动语态 [中等]                                | SINGLE_CHOICE | A new hospital ___ in our city next year.                                         | B               | next year是将来时间，医院是被建造的。将来时被动：will be+过去分词。                                                          |                2 |
| 13489 | 被动语态 [中等]                                | SINGLE_CHOICE | The room ___ every day.                                                           | B               | 房间是被打扫的，every day用一般现在时。被动：is+过去分词。                                                                   |                1 |
| 13490 | 被动语态 [中等]                                | TRUE_FALSE    | English is speaking in Canada. (判断正误)                                         | F               | English是被说的，应改为English is spoken。主动表被动是常见错误。                                                             |                2 |
| 13491 | 被动语态 [中等]                                | FILL_IN       | The cake ___ (make) by my mother yesterday.                                       | was made        | yesterday过去时间，蛋糕是被做的，单数用was made。                                                                            |                2 |
+-------+------------------------------------------------+---------------+-----------------------------------------------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------------------------------+------------------+
