+-------+--------------------------------------------------+---------------+------------------------------------------------------------------------------------------------+-------------------------+------------------------------------------------------------------------------------------------------------------------------------------+------------------+
| id    | node                                             | question_type | question_text                                                                                  | correct_answer          | explanation                                                                                                                              | difficulty_level |
| 13427 | 整式加减乘除运算                                 | SINGLE_CHOICE | 化简 x^2-2x+1-(x^2+x-3)$ 的结果为$                                                             | A                       | 3x^2-x^2=2x^2;-2x-x=-3x;-1-(-3)=4;得2x^2-3x+4                                                                                            |                2 |
| 13428 | 解一元一次方程                                   | TRUE_FALSE    | 方程 4(x-2)=2(x+1) 的解为 x=5。                                                                | T                       | 4x-8=2x+2;2x=10;x=5。正确。                                                                                                              |                2 |
| 13429 | 代入消元法与加减消元法                           | FILL_IN       | 用代入法解方程组 y=2x-1, 3x+2y=12 得 x=___。                                                   | 2                       | 代入:3x+2(2x-1)=12;3x+4x-2=12;7x=14;x=2。                                                                                                |                3 |
| 13430 | 一元二次方程公式法求解                           | TRUE_FALSE    | 一元二次方程 ax^2+bx+c=0 当 b^2-4ac=0 时有一个实数根。                                         | F                       | 判别式为0时有两个相等的实数根(重根),而非只有一个。                                                                                       |                2 |
| 13344 | 集合的表示方法 [了解]                            | SINGLE_CHOICE | 集合 $\{x \mid 1 < x < 3, x \in \mathbb{N}\}$ 用列举法表示为                                   | B                       | x是自然数且满足1<x<3，只有x=2。                                                                                                          |                2 |
| 13345 | 集合的表示方法 [了解]                            | FILL_IN       | 用描述法表示"大于5的实数"：$\{x \mid}$ ___$\}$。                                               | x>5                     | 描述法格式为{元素|条件}。大于5写作x>5。                                                                                                  |                1 |
| 13346 | 并集运算 [掌握]                                  | SINGLE_CHOICE | 设 $A=\{1,2,3\}$，$B=\{3,4,5\}$，则 $A \cup B =$                                               | B                       | 并集取两个集合所有元素（重复只算一次）。A∪B={1,2,3,4,5}。                                                                                |                2 |
| 13347 | 集合关系判断与证明 [理解]                        | SINGLE_CHOICE | 已知 $A=\{1,2,3\}$，$B=\{1,2,3,4\}$，则                                                        | B                       | A的所有元素都在B中且A≠B，所以A是B的真子集。∈表示元素属于集合，A和B都是集合，不能用∈。                                                    |                2 |
| 13355 | 诱导公式(五)~(六) [掌握]                         | SINGLE_CHOICE | $\sin(\frac{\pi}{2}+\alpha)$ 等于                                                              | C                       | 诱导公式：sin(π/2+α)=cosα。"正余互换，符号看象限"。                                                                                      |                3 |
| 13356 | 诱导公式(五)~(六) [掌握]                         | FILL_IN       | $\cos(\frac{\pi}{2}+\alpha) =$ ___。                                                           | -sinα                   | 诱导公式：cos(π/2+α)=-sinα。                                                                                                             |                3 |
| 13358 | 正切函数的图像与性质 [了解]                      | TRUE_FALSE    | 函数 $y=\tan x$ 的定义域是全体实数。                                                           | F                       | tanx=sinx/cosx，当cosx=0即x=π/2+kπ时无定义。定义域为{x|x≠π/2+kπ,k∈Z}。                                                                   |                3 |
| 13360 | 弧度制与角度制互化 [理解]                        | SINGLE_CHOICE | $60^\circ$ 等于多少弧度                                                                        | C                       | 弧度=角度×(π/180)。60°=60×π/180=π/3。                                                                                                    |                2 |
| 13361 | 弧度制与角度制互化 [理解]                        | FILL_IN       | $\frac{5\pi}{6}$ 弧度 = ___°。                                                                 | 150                     | 角度=弧度×(180/π)。5π/6×180/π=150°。                                                                                                     |                2 |
| 13367 | 向量的加减法与数乘 [理解]                        | SINGLE_CHOICE | 已知 $\vec{a}=(3,1)$，$\vec{b}=(-1,2)$，则 $\vec{a}+\vec{b}=$                                  | A                       | 向量加法：对应坐标相加。(3+(-1),1+2)=(2,3)。                                                                                             |                2 |
| 13368 | 向量的加减法与数乘 [理解]                        | FILL_IN       | $\vec{a}=(4,0)$，则 $3\vec{a}=$___。                                                           | (12,0)                  | 数乘：每个坐标乘以该数。3×(4,0)=(12,0)。                                                                                                 |                1 |
| 13369 | 向量的加减法与数乘 [理解]                        | SINGLE_CHOICE | 已知 $\vec{a}=(5,2)$，$\vec{b}=(2,-3)$，则 $2\vec{a}-\vec{b}=$                                 | A                       | 2a-b=2(5,2)-(2,-3)=(10-2,4-(-3))=(8,7)。                                                                                                 |                3 |
| 13370 | 向量的加减法与数乘 [理解]                        | TRUE_FALSE    | 向量加法满足交换律：a+b=b+a。                                                                  | T                       | 向量加法满足交换律和结合律，这是向量的基本性质。                                                                                         |                1 |
| 13374 | 坐标运算的应用 [掌握]                            | SINGLE_CHOICE | 已知 $\vec{a}=(1,2)$，$\vec{b}=(3,-1)$，则 $\vec{a}\cdot\vec{b}=$                              | B                       | 数量积=对应坐标乘积之和：a·b=1×3+2×(-1)=3-2=1。                                                                                          |                3 |
| 13375 | 坐标运算的应用 [掌握]                            | FILL_IN       | 已知 $\vec{a}=(1,1)$，$\vec{b}=(2,0)$，则 $\vec{a}\cdot\vec{b}=$___。                          | 2                       | a·b=1×2+1×0=2。                                                                                                                          |                2 |
| 13376 | 坐标运算的应用 [掌握]                            | TRUE_FALSE    | 若两向量数量积为0，则两向量垂直。                                                              | T                       | a·b=|a||b|cosθ=0 ⇒ cosθ=0 ⇒ θ=90°，两向量垂直。正确。                                                                                    |                2 |
| 13381 | 面面平行与垂直的判定 [理解]                      | SINGLE_CHOICE | 平面与平面垂直的判定定理是                                                                     | D                       | 面面垂直判定：若一个平面过另一个平面的垂线，则两平面垂直。                                                                               |                3 |
| 13382 | 面面平行与垂直的判定 [理解]                      | TRUE_FALSE    | 若两个平面平行，则一个平面内的任意直线都平行于另一个平面。                                     | T                       | 面面平行⇒其中一个平面内所有直线都与另一个平面无交点，即平行。                                                                            |                2 |
| 13383 | 面面平行与垂直的判定 [理解]                      | FILL_IN       | 正方体中，侧面与底面的位置关系是___。                                                          | 垂直                    | 正方体侧面垂直于底面（交线为底边，侧面过垂直于底面的棱）。                                                                               |                2 |
| 13386 | 圆的一般方程 [掌握]                              | SINGLE_CHOICE | 方程 $x^2+y^2-4x+2y-4=0$ 表示的圆的圆心坐标为                                                  | A                       | 配方：$(x-2)^2+(y+1)^2=9$，圆心(2,-1)。                                                                                                  |                3 |
| 13387 | 圆的一般方程 [掌握]                              | FILL_IN       | 圆 $x^2+y^2=25$ 的半径为___。                                                                  | 5                       | x²+y²=r²标准形式，r=√25=5。                                                                                                              |                1 |
| 13388 | 圆的一般方程 [掌握]                              | TRUE_FALSE    | 方程 $x^2+y^2+2x-6y+10=0$ 表示一个圆。                                                         | F                       | 配方得(x+1)²+(y-3)²=0，半径r=0，退化为点，不是圆。                                                                                       |                3 |
| 13389 | 直线的五种方程形式 [掌握]                        | SINGLE_CHOICE | 过点(2,3)，斜率为1的直线方程为                                                                 | A                       | 点斜式：y-3=1×(x-2) ⇒ y=x+1。                                                                                                            |                2 |
| 13390 | 直线的五种方程形式 [掌握]                        | FILL_IN       | 过点A(1,2)和B(3,6)的直线斜率为___。                                                            | 2                       | 两点斜率公式：k=(6-2)/(3-1)=4/2=2。                                                                                                      |                2 |
| 13391 | 弦长与切线问题 [理解]                            | FILL_IN       | 圆 $x^2+y^2=25$ 在点(3,4)处的切线方程为___。                                                   | 3x+4y=25                | 圆上点(x₀,y₀)处切线为x₀x+y₀y=r²。3x+4y=25。                                                                                              |                4 |
| 13394 | 互斥事件与独立事件 [理解]                        | SINGLE_CHOICE | 掷一枚骰子，事件A="点数为1"，事件B="点数为偶数"，则A与B是                                      | B                       | A={1}，B={2,4,6}，无交集⇒互斥。不是对立（A∪B≠全集）。                                                                                    |                2 |
| 13395 | 互斥事件与独立事件 [理解]                        | TRUE_FALSE    | 掷两枚硬币，第一枚正面与第二枚正面是独立事件。                                                 | T                       | 两枚硬币结果互不影响，是独立事件。                                                                                                       |                2 |
| 13405 | 实数的概念与分类                                 | TRUE_FALSE    | 所有分数都是有理数。                                                                           | T                       | 有理数定义：可表示为两整数之比的数。                                                                                                     |                1 |
| 13406 | 实数的概念与分类                                 | FILL_IN       | $\pi$ 是___（填"有理数"或"无理数"）。                                                          | 无理数                  | π是无限不循环小数，是无理数。                                                                                                            |                1 |
| 13407 | 一次函数与方程不等式的关系                       | TRUE_FALSE    | 一次函数y=kx+b的图像是一条直线。                                                               | T                       | 一次函数的图像始终是直线。                                                                                                               |                1 |
| 13408 | 一次函数与方程不等式的关系                       | FILL_IN       | 直线 $y=-3x+6$ 的斜率为___。                                                                   | -3                      | y=kx+b中k即斜率。                                                                                                                        |                1 |
| 13409 | 分式的约分与通分                                 | FILL_IN       | 化简 $\frac{x^2-1}{x-1}=$___（x≠1）。                                                          | x+1                     | 因式分解(x+1)(x-1)，约去(x-1)。                                                                                                          |                2 |
| 13410 | 分式的约分与通分                                 | TRUE_FALSE    | $\frac{2}{4}$ 约分后为 $\frac{1}{2}$。                                                         | T                       | 分子分母同除以2。                                                                                                                        |                1 |
| 13411 | 分式的约分与通分                                 | FILL_IN       | $\frac{1}{x}+\frac{1}{x+1}$ 通分后分子为___。                                                  | 2x+1                    | 通分：(x+1+x)/[x(x+1)]=(2x+1)/[x(x+1)]。                                                                                                 |                2 |
| 13416 | 勾股定理与简单应用                               | TRUE_FALSE    | 勾股定理逆定理：若a²+b²=c²，则三角形是直角三角形。                                             | T                       | 勾股定理逆定理是判定直角三角形的方法。                                                                                                   |                2 |
| 13417 | 根的判别式与韦达定理                             | FILL_IN       | 方程 $2x^2-8x+6=0$ 两根之积为___。                                                             | 3                       | 韦达定理：x₁x₂=c/a=6/2=3。                                                                                                               |                2 |
| 13426 | 实数的概念与分类                                 | TRUE_FALSE    | 有理数和无理数统称为实数。                                                                     | T                       | 实数=有理数∪无理数。                                                                                                                     |                1 |
| 13431 | 根的判别式与韦达定理                             | FILL_IN       | 方程 3x^2-7x+2=0 的两根之和为___。                                                             | 7/3                     | 韦达定理:x1+x2=-b/a=7/3。                                                                                                                |                2 |
| 13432 | 一次函数与方程不等式的关系                       | FILL_IN       | 直线 y=2x-1 与 y 轴的交点坐标为___。                                                           | (0,-1)                  | y轴截距:当x=0时y=-1。交点(0,-1)。                                                                                                        |                1 |
| 13433 | 勾股定理与简单应用                               | FILL_IN       | 边长为5的等边三角形,高为___。                                                                  | (5√3)/2                 | 等边三角形高h=(√3/2)×边长=(5√3)/2。勾股定理也可得。                                                                                      |                3 |
| 13333 | 补集运算 [掌握]                                  | SINGLE_CHOICE | 设全集 $U=\{1,2,3,4,5\}$，集合 $A=\{1,2,3\}$，则 $\complement_U A =$                           | B                       | 补集是在全集中去掉集合A的元素。U={1,2,3,4,5}去掉{1,2,3}剩下{4,5}。                                                                       |                2 |
| 13334 | 补集运算 [掌握]                                  | SINGLE_CHOICE | 已知全集 $U=\mathbb{R}$，$A=\{x \mid x \geq 2\}$，则 $\complement_U A =$                       | C                       | 补集是x≥2的否定，即x<2。注意端点2本身属于A，所以补集不含2。                                                                              |                3 |
| 13335 | 补集运算 [掌握]                                  | TRUE_FALSE    | 若全集U={a,b,c,d}，A={a,b}，则∁_UA={c,d}。                                                     | T                       | U中除去A的元素a,b后剩余c,d，正确。                                                                                                       |                1 |
| 13336 | 补集运算 [掌握]                                  | FILL_IN       | 设全集 $U=\{1,2,3,4,5,6\}$，$A=\{2,4,6\}$，则 $\complement_U A$ 的元素个数为___。              | 3                       | U有6个元素，A有3个，补集有6-3=3个。                                                                                                      |                2 |
| 13337 | 空集与全集 [了解]                                | SINGLE_CHOICE | 下列集合中，为空集的是                                                                         | D                       | B中方程x²+1=0在实数范围内无解，为空集。C中∅本身就是空集的符号。A中{0}含元素0，不是空集。                                                 |                2 |
| 13338 | 空集与全集 [了解]                                | TRUE_FALSE    | 空集是任何集合的子集。                                                                         | T                       | 空集∅是任何集合的子集，这是集合论的基本性质。                                                                                            |                1 |
| 13339 | 空集与全集 [了解]                                | FILL_IN       | 方程 $x^2+x+1=0$ 在实数范围内的解集是___（填"空集"或"∅"）。                                    | ∅                       | 判别式Δ=1-4=-3<0，方程无实数解，解集为空集。                                                                                             |                2 |
+-------+--------------------------------------------------+---------------+------------------------------------------------------------------------------------------------+-------------------------+------------------------------------------------------------------------------------------------------------------------------------------+------------------+
